# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:41
# parameter: seed = 1896549
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       3.158,     2,Finish(1),before,   1,   0,   0,   1,   0
       3.158,     2,Finish(1), after,   2,   0,   0,   0,   1
      21.562,     3,Finish(2),before,   1,   0,   0,   0,   1
      21.562,     3,Finish(2), after,   1,   0,   0,   0,   0
      30.395,     1,  Arrival,before,   0,   0,   0,   0,   0
      30.395,     1,  Arrival, after,   2,   0,   0,   1,   0
      33.913,     5,Finish(1),before,   1,   0,   0,   1,   0
      33.913,     5,Finish(1), after,   2,   0,   0,   0,   1
      52.211,     6,Finish(2),before,   1,   0,   0,   0,   1
      52.211,     6,Finish(2), after,   1,   0,   0,   0,   0
      55.166,     4,  Arrival,before,   0,   0,   0,   0,   0
      55.166,     4,  Arrival, after,   2,   0,   0,   1,   0
      62.029,     8,Finish(1),before,   1,   0,   0,   1,   0
      62.029,     8,Finish(1), after,   2,   0,   0,   0,   1
      80.935,     9,Finish(2),before,   1,   0,   0,   0,   1
      80.935,     9,Finish(2), after,   1,   0,   0,   0,   0
      89.112,     7,  Arrival,before,   0,   0,   0,   0,   0
      89.112,     7,  Arrival, after,   2,   0,   0,   1,   0
      97.794,    11,Finish(1),before,   1,   0,   0,   1,   0
      97.794,    11,Finish(1), after,   2,   0,   0,   0,   1
     111.817,    12,Finish(2),before,   1,   0,   0,   0,   1
     111.817,    12,Finish(2), after,   1,   0,   0,   0,   0
     136.256,    10,  Arrival,before,   0,   0,   0,   0,   0
     136.256,    10,  Arrival, after,   2,   0,   0,   1,   0
     154.431,    14,Finish(1),before,   1,   0,   0,   1,   0
     154.431,    14,Finish(1), after,   2,   0,   0,   0,   1
     170.733,    15,Finish(2),before,   1,   0,   0,   0,   1
     170.733,    15,Finish(2), after,   1,   0,   0,   0,   0
     172.545,    13,  Arrival,before,   0,   0,   0,   0,   0
     172.545,    13,  Arrival, after,   2,   0,   0,   1,   0
     177.049,    17,Finish(1),before,   1,   0,   0,   1,   0
